result_id,car_number,starting_grid_position,final_position,points,laps,time,fastest_lap,top_speed_of_fl,constructor_id_id,driver_id_id,race_id_id
14965,14,8,5,2,95,,00:00:00,0,1,304,605
14966,12,13,6,1,95,,00:00:00,0,34,290,605
14951,18,26,DNS,0,25,,00:00:00,0,63,319,604
14864,31,0,DNQ,0,0,,00:00:00,0,64,251,601
14865,43,0,DNQ,0,0,,00:00:00,0,63,316,601
14866,18,0,DNQ,0,0,,00:00:00,0,63,321,601
14867,22,0,DNQ,0,0,,00:00:00,0,57,283,601
14868,19,0,DNQ,0,0,,00:00:00,0,63,219,601
14869,32,0,DNQ,0,0,,00:00:00,0,34,324,601
14895,19,0,DNQ,0,0,,00:00:00,0,63,319,602
14896,31,0,DNQ,0,0,,00:00:00,0,34,325,602
14897,18,0,DNQ,0,0,,00:00:00,0,63,321,602
14898,25,0,DNQ,0,0,,00:00:00,0,57,283,602
14899,30,0,DNQ,0,0,,00:00:00,0,78,278,602
14900,23,0,DNQ,0,0,,00:00:00,0,63,316,602
14927,18,0,DNQ,0,0,,00:00:00,0,63,321,603
14928,22,0,DNQ,0,0,,00:00:00,0,57,283,603
14929,10,0,DNQ,0,0,,00:00:00,0,37,230,603
14930,42,0,DNQ,0,0,,00:00:00,0,34,270,603
14958,9,0,DNQ,0,0,,00:00:00,0,37,233,604
14967,32,1,7,0,93,,00:00:00,0,66,223,605
14968,16,11,8,0,92,,00:00:00,0,1,309,605
14969,20,14,9,0,92,,00:00:00,0,6,232,605
14970,22,18,10,0,90,,00:00:00,0,37,329,605
27317,7,18,13,0,56,+88.401s,00:01:36.424,203.513,214,862,1148
14983,10,17,4,3,39,,00:00:00,0,6,232,606
14984,9,3,5,2,39,,00:00:00,0,6,235,606
14985,14,4,6,1,39,,00:00:00,0,66,223,606
14986,19,14,7,0,39,,00:00:00,0,80,307,606
14987,16,13,8,0,38,,00:00:00,0,66,182,606
14988,20,18,9,0,38,,00:00:00,0,80,330,606
14989,4,9,10,0,38,,00:00:00,0,25,327,606
14990,17,7,11,0,38,,00:00:00,0,34,199,606
14991,23,20,12,0,36,,00:00:00,0,63,331,606
15003,9,15,4,3,78,,00:00:00,0,6,232,607
15004,5,1,5,2,77,,00:00:00,0,1,304,607
